AD,ED,borough_code,borough,ed_uid,neighborhood
81,010,BX,Bronx,BX-AD81-ED010,Kingsbridge
81,011,BX,Bronx,BX-AD81-ED011,Kingsbridge
81,012,BX,Bronx,BX-AD81-ED012,Kingsbridge
81,013,BX,Bronx,BX-AD81-ED013,Kingsbridge
81,014,BX,Bronx,BX-AD81-ED014,Spuyten Duyvil
81,015,BX,Bronx,BX-AD81-ED015,Spuyten Duyvil
81,016,BX,Bronx,BX-AD81-ED016,Spuyten Duyvil
81,017,BX,Bronx,BX-AD81-ED017,Kingsbridge
81,018,BX,Bronx,BX-AD81-ED018,Woodlawn
81,019,BX,Bronx,BX-AD81-ED019,Spuyten Duyvil
81,020,BX,Bronx,BX-AD81-ED020,Spuyten Duyvil
81,021,BX,Bronx,BX-AD81-ED021,Riverdale
81,022,BX,Bronx,BX-AD81-ED022,Riverdale
81,023,BX,Bronx,BX-AD81-ED023,Riverdale
81,024,BX,Bronx,BX-AD81-ED024,Woodlawn
81,025,BX,Bronx,BX-AD81-ED025,Riverdale
81,026,BX,Bronx,BX-AD81-ED026,Riverdale
81,027,BX,Bronx,BX-AD81-ED027,Spuyten Duyvil
81,028,BX,Bronx,BX-AD81-ED028,Spuyten Duyvil
81,029,BX,Bronx,BX-AD81-ED029,Riverdale
81,030,BX,Bronx,BX-AD81-ED030,Riverdale
81,031,BX,Bronx,BX-AD81-ED031,Riverdale
81,032,BX,Bronx,BX-AD81-ED032,Riverdale
81,033,BX,Bronx,BX-AD81-ED033,North Riverdale
81,034,BX,Bronx,BX-AD81-ED034,North Riverdale
81,035,BX,Bronx,BX-AD81-ED035,North Riverdale
81,036,BX,Bronx,BX-AD81-ED036,North Riverdale
81,037,BX,Bronx,BX-AD81-ED037,North Riverdale
81,038,BX,Bronx,BX-AD81-ED038,North Riverdale
81,039,BX,Bronx,BX-AD81-ED039,North Riverdale
81,040,BX,Bronx,BX-AD81-ED040,North Riverdale
81,041,BX,Bronx,BX-AD81-ED041,Woodlawn
81,042,BX,Bronx,BX-AD81-ED042,Woodlawn
81,043,BX,Bronx,BX-AD81-ED043,Woodlawn
81,044,BX,Bronx,BX-AD81-ED044,Wakefield
81,045,BX,Bronx,BX-AD81-ED045,Woodlawn
81,046,BX,Bronx,BX-AD81-ED046,Riverdale
81,047,BX,Bronx,BX-AD81-ED047,Woodlawn
81,048,BX,Bronx,BX-AD81-ED048,Norwood
81,049,BX,Bronx,BX-AD81-ED049,Norwood
81,050,BX,Bronx,BX-AD81-ED050,Norwood
81,051,BX,Bronx,BX-AD81-ED051,Norwood
81,052,BX,Bronx,BX-AD81-ED052,Wakefield
81,053,BX,Bronx,BX-AD81-ED053,Kingsbridge
81,054,BX,Bronx,BX-AD81-ED054,Kingsbridge
